"CallNbr", "DTPlaced", "DTOpened", "DTClosed", "AnimalLocation", "CallLocation", "Property", "Species", "Reason", "Resolution", "TimeToResolve", "PostcardSent", "EmailSent", "OpenedBy", "LastUpdater"
1987, 2020-08-27 15:38:00, 2020-08-27 15:38:00, , "NA", "NA", "NA", "NA", "Info", "CallResolvedByHLV", "<15", "", "", "davek", "davek"
1988, 2020-08-27 15:45:00, 2020-08-27 15:45:00, , "NA", "NA", "NA", "NA", "EdRequest", "CallResolvedByHLV", "<15", "", "", "davek", "davek"
1989, 2020-08-27 15:45:00, 2020-08-27 15:45:00, , "NA", "NA", "NA", "NA", "EdRequest", "CallResolvedByHLV", "<15", "", "", "davek", "davek"
1990, 2020-08-27 16:14:00, 2020-08-27 16:14:00, , "NA", "NA", "NA", "NA", "Info", "CallResolvedByHLV", "<15", "", "", "davek", "davek"
1991, 2020-08-27 16:14:00, 2020-08-27 16:14:00, , "NA", "NA", "NA", "NA", "Info", "CallResolvedByHLV", "<15", "", "", "davek", "davek"
1992, 2020-08-27 16:46:00, 2020-08-27 16:46:00, 2020-08-27 16:46:00, "NA", "NA", "NA", "NA", "Shot", "CallResolvedByHLV", "<15", "", "", "davek", "davek"
1993, 2020-08-27 16:46:00, 2020-08-27 16:46:00, , "NA", "NA", "NA", "NA", "Shot", "CallResolvedByHLV", "<15", "", "", "davek", "davek"
1994, 2020-08-28 16:56:00, 2020-08-28 16:56:00, 2020-08-28 16:56:00, "NA", "NA", "NA", "NA", "AppearsInjured", "CallResolvedByHLV", "<15", "", "", "davek", "davek"
1995, 2020-08-28 16:56:00, 2020-08-28 16:56:00, , "", "", "", "", "AppearsInjured", "", "", "", "", "davek", "davek"
1996, 2020-08-28 16:56:00, 2020-08-28 16:56:00, 2020-08-28 16:56:00, "NA", "NA", "NA", "NA", "AppearsInjured", "CallResolvedByHLV", "<15", "", "", "davek", "davek"
1997, 2020-08-28 16:56:00, 2020-08-28 16:56:00, , "", "", "", "", "AppearsInjured", "", "", "", "", "davek", "davek"
1998, 2020-08-28 17:14:00, 2020-08-28 17:14:00, , "", "", "", "", "AppearsInjured", "", "", "", "", "davek", "davek"
1999, 2020-08-28 17:14:00, 2020-08-28 17:14:00, 2020-08-28 17:14:00, "NA", "NA", "NA", "NA", "AppearsInjured", "CallResolvedByHLV", "<15", "", "", "davek", "davek"
2000, 2020-08-28 17:14:00, 2020-08-28 17:14:00, , "", "", "", "", "AppearsInjured", "", "", "", "", "davek", "davek"
2001, 2020-08-28 17:14:00, 2020-08-28 17:14:00, , "", "", "", "", "AppearsInjured", "", "", "", "", "davek", "davek"
2002, 2020-08-28 17:14:00, 2020-08-28 17:14:00, , "", "", "", "", "AppearsInjured", "", "", "", "", "davek", "davek"
2003, 2020-08-28 17:14:00, 2020-08-28 17:14:00, 2020-08-28 17:14:00, "NA", "NA", "NA", "NA", "AppearsInjured", "CallResolvedByHLV", "<15", "", "", "davek", "davek"
2004, 2020-08-28 17:16:00, 2020-08-28 17:16:00, , "", "", "", "", "Info", "NoActionRequired", "<15", "", "", "davek", "davek"
